283,622
440,274
469,893
414,337
823,358
1,847
504,430
465,166
724,758
502,878
36,177
129,6
994,78
511,131
926,201
954,341
234,57
622,752
181,631
429,294
776,669
193,574
885,780
689,422
667,948
373,229
623,76
168,548
104,746
590,926
417,665
707,545
917,994
345,835
235,415
555,110
766,633
606,580
422,401
630,906
127,253
223,539
370,901
564,902
149,927
982,690
986,247
961,388
921,406
156,15
511,693
738,164
722,684
147,606
916,78
823,916
241,467
821,512
318,26
916,57
302,436
322,88
353,291
896,540
359,431
269,689
61,210
865,157
844,332
961,474
184,646
305,869
381,141
242,579
107,101
659,611
898,629
722,322
32,161
116,491
337,160
21,157
308,228
671,239
747,152
811,836
925,775
12,835
800,663
188,726
723,526
91,951
332,264
559,601
329,35
954,193
384,157
842,182
449,712
644,413
798,678
366,607
864,587
686,191
209,733
613,80
76,739
602,318
296,124
458,676
38,931
441,180
650,268
782,983
685,414
976,245
644,425
300,705
810,56
156,254
425,270
604,44
12,363
316,927
609,430
144,332
767,408
535,138
689,259
718,151
190,14
639,812
160,402
881,507
819,823
201,985
1,519
685,720
856,692
751,875
94,823
778,964
495,535
304,503
607,980
831,132
160,578
104,631
79,182
496,224
797,401
758,281
228,857
337,986
842,94
118,389
707,651
302,705
724,736
582,61
733,678
978,406
225,187
365,12
682,704
394,214
254,680
609,149
559,363
599,465
305,70
810,859
977,355
604,232
148,971
446,622
40,978
135,683
611,190
604,251
917,869
781,787
666,134
868,429
986,298
974,861
326,609
943,768
191,996
223,755
295,778
981,199
839,259
963,460
514,566
78,285
496,391
98,679
271,352
236,450
818,125
338,216
64,757
154,298
677,241
748,678
2,572
102,72
792,231
723,912
938,295
689,19
774,430
343,225
39,706
2,789
540,163
983,933
34,298
638,45
450,524
853,744
795,623
900,250
917,140
84,851
360,991
680,364
344,373
270,888
216,127
956,398
84,598
751,325
612,590
371,879
534,338
547,478
3,190
931,680
182,501
835,984
12,362
962,524
150,429
240,188
26,471
432,130
170,217
115,845
188,696
130,924
842,192
249,692
738,745
539,142
148,137
233,149
240,813
42,284
941,796
935,994
402,108
451,699
470,655
620,366
667,290
368,438
983,0
265,509
199,656
298,347
343,987
499,662
7,621
589,436
797,142
307,785
405,578
691,283
843,498
917,228
831,847
945,289
240,544
753,566
12,498
937,884
156,383
623,141
317,919
209,234
60,26
517,876
537,57
964,359
16,87
396,959
724,934
815,296
810,373
640,682
645,863
774,50
731,280
970,186
110,717
772,915
346,531
590,237
344,864
986,918
374,622
803,868
689,45
496,788
157,877
374,595
684,807
547,679
296,895
670,746
371,625
340,119
309,392
78,768
