193,891
779,548
341,738
479,404
352,891
116,753
669,210
924,468
24,215
921,997
306,48
37,511
991,562
200,720
694,106
513,144
785,539
956,274
121,546
702,930
666,588
890,162
771,65
957,166
539,763
252,265
18,796
493,743
149,801
208,166
662,93
54,308
971,808
130,701
299,458
906,629
944,704
700,485
864,299
626,457
624,436
315,130
145,720
319,806
961,952
839,106
854,600
778,722
239,878
374,737
43,973
759,116
76,863
255,209
800,842
183,142
542,435
409,813
23,891
578,457
866,915
16,305
930,784
745,178
816,259
767,684
698,489
870,975
211,75
323,210
663,835
368,993
392,977
718,666
37,73
218,61
889,14
675,932
119,514
272,272
842,912
48,213
713,472
358,683
646,317
461,550
827,552
130,313
789,878
